"Attr1","Attr2","Attr3","Attr4","Attr5","Attr6","Attr7","Attr8","Attr9","Attr10","Attr11","Attr12","Attr13","Attr14","Attr15","Attr16","Attr17","Attr18","Attr19","Attr20","Attr22","Attr23","Attr24","Attr25","Attr26","Attr28","Attr29","Attr30","Attr31","Attr32","Attr33","Attr34","Attr35","Attr36","Attr38","Attr39","Attr40","Attr41","Attr42","Attr43","Attr44","Attr45","Attr46","Attr47","Attr48","Attr49","Attr50","Attr51","Attr52","Attr53","Attr54","Attr55","Attr56","Attr57","Attr58","Attr59","Attr60","Attr61","Attr62","Attr63","Attr64","class"
0.10921,0.44652,0.17917,1.44,-11.068,0.00086403,0.13894,1.2395,2.4031,0.55348,0.15483,0.34123,0.069015,0.13894,982.71,0.37142,2.2395,0.13894,0.057819,35.393,0.15444,0.045445,0.13894,0.49064,0.30483,0.43313,3.8038,0.18435,0.063621,66.222,5.5118,5.0261,0.1588,2.4031,0.59224,0.06608,0.043806,0.082077,0.064266,86.35,50.957,0.46867,0.86774,37.897,0.12753,0.05307,1.3131,0.40718,0.18143,1.338,1.4317,1140.5,0.06608,0.19731,0.94231,0.070036,10.313,7.1629,61.846,5.9018,5.8094,"0"
0.039963,0.40622,0.022602,1.0617,-53.584,0.16237,0.048979,1.4053,1.0805,0.57086,0.048979,0.13363,0.10704,0.048979,1392.6,0.26211,2.4617,0.048979,0.049239,42.234,0.061713,0.040175,0.18437,0.57086,0.23991,0.037,4.176,0.40487,0.049239,145.32,2.5118,0.15192,0.061713,1.0062,0.61055,0.062041,0.1077,0.11203,0.062041,128.3,86.068,0.34721,0.74764,45.632,0.0042171,0.0042395,0.95792,0.36653,0.39812,0.9345,0.99948,339,0.07447,0.070005,0.92553,0.069537,8.6423,4.2408,134.49,2.7139,1.6284,"0"
0.032395,0.18539,0.45669,3.4635,3.0678,0.12944,0.041219,4.3843,0.9739,0.81278,0.041219,0.22234,0.04862,0.041219,578.6,0.63083,5.3942,0.041219,0.017137,65.579,0.04146,0.013468,0.17471,0.81278,0.58323,1.276,3.4049,0.046786,0.017137,27.397,13.322,0.22364,0.04146,2.5178,0.81278,0.017237,0.41526,0.05201,0.017237,85.751,20.173,0.07496,1.1323,63.867,-0.034268,-0.014247,3.4635,0.18539,0.075061,2.2708,2.2708,1160.3,-0.026797,0.039856,1.0268,0,5.5658,18.094,28.132,12.975,6.7202,"0"
0.034303,0.37352,0.20032,1.6427,-22.2,0,0.043421,1.6772,1.1936,0.62648,0.097161,0.13931,0.074407,0.043421,1535.1,0.23777,2.6772,0.043421,0.036378,81.318,0.053009,0.028739,0.043421,0.60608,0.21336,0.41051,3.3892,0.30554,0.048567,99.604,3.6645,3.058,0.051393,1.1936,0.68831,0.043058,0.034854,0.12653,0.044412,153.25,71.934,0.129,0.78955,84.977,0.0076186,0.0063829,1.3708,0.31169,0.27289,1.2838,1.4105,490.88,0.043058,0.054755,0.96532,0.098687,4.4886,5.0741,95.315,3.8294,2.446,"0"
-0.044364,0.80255,-0.084449,0.77852,-113.72,0,-0.044364,0.24603,0.65306,0.19745,-0.038701,-0.11635,-0.048643,-0.044364,-9221.3,-0.039582,1.246,-0.044364,-0.067932,40.113,0,-0.067932,-0.16294,0.16438,-0.039582,-0.1201,4.6255,1.2255,-0.13586,241.68,1.5103,0.71754,0.0043369,0.65306,0.6187,0.0066409,0.062822,2.1237,0,152.53,112.41,-0.61813,0.5903,45.491,-0.012597,-0.019289,0.36989,0.3813,0.66214,0.28081,0.8799,-3565.6,0.1182,-0.22468,0.89387,2.1335,9.0992,3.247,213.11,1.7127,0.92877,"0"
0.21129,0.21974,0.0049483,1.0264,-9.4439,0.45739,0.26495,3.5486,1.2812,0.77976,0.26495,1.4121,0.22453,0.26495,254.58,1.4338,4.5509,0.26495,0.18883,5.7231,0.26928,0.15058,0.56937,0.77976,1.1896,0.0061285,5.0058,0.14362,0.18883,62.533,5.8369,1.2255,0.26928,1.4065,0.81187,0.19192,0.15235,0.022619,0.19192,42.66,36.937,9.6038,0.90912,7.3324,0.21918,0.15621,0.8764,0.18763,0.17132,0.96574,1.0055,501.45,0.21948,0.27097,0.78052,0.041176,63.777,9.8817,48.809,7.4782,1.7378,"0"
0.05954,0.032334,0.43754,14.532,69.283,-0.2276,0.10141,29.927,0.5429,0.96767,0.22471,3.1362,0.25317,0.10141,85.867,4.2508,30.927,0.10141,0.18679,11.518,0.21502,0.10967,0.10141,0.61297,2.9559,0.82534,2.1491,-0.073162,0.18679,23.62,15.453,15.453,0.043224,0.5429,0.96767,0.079617,12.471,0.0042931,0.39606,44.804,33.286,3.4754,14.002,12.515,0.17898,0.32968,14.532,0.032334,0.064711,1.8253,1.8253,61.677,0.079617,0.06153,0.86053,0,31.689,10.966,21.739,16.79,1.0241,"0"
0.016953,0.81899,-0.23046,0.55562,-72.32,0.048781,0.023908,0.22102,1.2995,0.18101,0.054766,0.0461,0.036516,0.023908,6299.7,0.05794,1.221,0.023908,0.018398,1.5784,0.054757,0.013046,0.023908,0.17658,0.049447,-0.32375,4.132,0.62037,0.042064,152.69,2.3904,1.5137,0.059785,1.2995,0.48138,0.046007,0.040629,0.34865,0.042138,75.019,73.44,3.0168,0.54479,1.6545,0.031213,0.02402,0.35184,0.51861,0.41834,0.25428,0.67625,-3123.2,0.046007,0.093655,0.98161,1.6594,231.25,4.97,145.67,2.5057,1.8255,"0"
0.054392,0.33791,0.33012,2.0375,44.106,0.17078,0.062795,1.4747,0.89638,0.49833,0.062795,0.19736,0.11096,0.062795,1046.4,0.34881,2.9594,0.062795,0.059116,61.607,0.064707,0.051206,0.20565,0.49833,0.32395,0.9386,4.4925,0.20942,0.059116,98.001,3.7244,0.19149,0.064707,1.2555,0.51806,0.060917,0.4018,0.092748,0.060917,178.83,117.23,0.30338,1.474,55.223,0.0096361,0.0090716,1.9185,0.31817,0.2685,1.4169,1.473,10260,-0.1156,0.10915,1.1156,0.039599,5.9247,3.1136,109.33,3.3385,3.0202,"0"
0.1261,0.8256,-0.40261,0.24723,-3615.7,0,0.1261,0.21124,2.5572,0.1744,0.17058,0.23577,0.081924,0.1261,1438.4,0.25375,1.2112,0.1261,0.049311,4.5155,0.17023,0.049311,0.25954,0.1261,0.25375,-0.46396,3.7727,0.31129,0.065753,80.741,4.5223,2.9297,0.1394,2.5572,0.46082,0.054513,0.062083,0.1085,0.066569,14.134,9.6186,3.986,0.18808,4.774,0.086834,0.033956,0.16016,0.53484,0.22112,0.20097,0.53104,-2385.5,0.054513,0.72305,0.96323,1.6423,80.834,37.947,76.339,4.7813,2.9469,"0"
0.37217,1.3479,-0.44531,0.63713,-155.36,-1.0082,0.44381,-0.25813,0.38961,-0.34794,0.44431,0.36165,0.807988399999998,0.44381,1017.1,0.35886,0.74187,0.44381,0.510335899999999,124.07,0.4394,0.450657599999996,0.44381,-0.37806,0.30572,-2.0415,2.7999,2.1916,0.654838399999996,371.51,1.1235,1.0228,-0.5406525,1.823,-0.34794,-0.6586408,0.40259,0.093741,0.472620399999998,269.63,145.56,2.8102,0.51051,35.062,0.39949,0.419087199999998,0.58005,1.2272,0.8901,-1.5951,-1.5951,-280.93,-0.658636,-1.0697,0.75628,0,2.9418,2.5075,806.605999999992,0.31748,1.7861,"1"
0.027026,0.79648,-0.098762,0.82937,-168.58,0,0.035666,0.25553,1.1379,0.20352,0.076451,0.061622,0.051848,0.035666,4927.4,0.074076,1.2555,0.035666,0.031342,124.83,0.07486,0.02375,0.12368,0.12411,0.063228,-0.18994,3.8351,0.6567,0.044424,197.9,1.8444,1.3403,0.070427,1.1379,0.42121,0.06189,0.086785,0.27038,0.065786,137.86,13.029,0.069443,0.15697,133.07,0.051527,0.045281,0.60269,0.57879,0.54218,0.39141,0.81006,-675.55,0.06189,0.13279,0.96882,1.0696,2.924,28.014,185.65,1.9661,2.1885,"0"
0.3582,0.52927,0.19598,1.4154,11.79,0.00059441,0.3582,0.88939,2.3406,0.47073,0.40067,0.75916,0.16776,0.3582,491.97,0.74191,1.8894,0.3582,0.15303,19.204,0.3991,0.15303,1.0352,0.47013,0.74191,0.58996,4.525,0.22461,0.15806,84.618,4.3135,3.8454,0.30538,2.3406,0.49486,0.13047,0.02298,0.040691,0.17051,102.45,83.244,2.9086,1.1544,22.086,0.36462,0.15578,1.2617,0.47183,0.23183,1.417,1.4897,6564.7,0.13047,0.76094,0.85321,0.051257,19.006,4.3847,73.578,4.9607,7.046,"0"
0.20783,0.4403,0.32669,1.7569,-31.265,0.39042,0.20783,1.1922,1.1691,0.52492,0.20783,0.48153,0.13384,0.20783,605.72,0.60258,2.2712,0.20783,0.10484,85.84,0.26088,0.10484,0.39042,0.52492,0.60258,1.3516,4.1415,0.22096,0.10484,92.91,3.9285,0.59252,0.26088,2.0239,0.53361,0.13161,0.011666,0.045468,0.13161,138.7,52.856,0.4458,0.67677,100.36,0.2034,0.10261,1.7222,0.43161,0.25455,2.1717,2.2077,4525.7,0.14465,0.39593,0.85535,0.016559,4.2521,6.9056,79.47,4.5929,8.2014,"0"
0.032974,0.61259,0.06095,1.0995,-168.84,0.12539,0.040331,0.59312,1.1276,0.36334,0.040331,0.065837,0.096223,0.040331,1951.8,0.18701,1.6324,0.040331,0.033876,159.82,0.082169,0.027697,0.14649,0.36334,0.175,0.1867,5.0275,0.51291,0.033876,211.77,1.7236,0.13413,0.082169,1.1985,0.36334,0.069018,0.0032393,0.12877,0.069018,205.89,46.068,0.063256,0.24853,180.21,0.0079421,0.006671,1.0995,0.61259,0.58019,1.113,1.113,6493.3,0.11315,0.090754,0.88685,0,2.2838,7.923,187.81,1.9435,3.6468,"0"
0.29334,0.081283,0.6579,26.349,156.92,0.25572,0.29334,11.303,1.394,0.91872,0.31678,11.13932,0.2662,0.29334,79.948,4.5655,12.303,0.29334,0.21043,48.778,0.31344,0.21043,0.55559,0.50428,4.5655,2.081,4.0574,0.027135,0.21201,8.2158,44.427,14.186,0.24099,1.394,0.91872,0.17287,1.7857,0.006926,0.22485,166.92,118.14,1.5746,19.171,58.973,0.23569,0.16907,8.4133,0.025954,0.022509,2.906,2.906,7508.5,0.17287,0.31929,0.80161,0,7.4829,3.0895,6.7955,53.712,4.4095,"0"
0.0060168,0.14601,0.70878,5.8544,22.157,0,0.0060168,5.8489,1.3093,0.85399,0.0060168,0.041209,0.017463,0.0060168,2330.9,0.15659,6.8489,0.0060168,0.0045956,173.67,0.0012034,0.0045956,0.0060168,0.0060168,0.15659,4.8812,3.3967,0.10202,0.0045956,40.767,8.9533,8.9533,0.0020056,1.3093,0.85399,0.0015319,0.12912,0.26963,0.00091912,233.05,59.38,0.0096587,1.5879,173.93,-0.015644,-0.011949,5.8544,0.14601,0.11169,5.8812,5.8812,1767,0.0015319,0.0070456,0.99636,0,2.1017,6.1469,40.705,8.967,9.0166,"0"
0.0053667,0.74068,-0.10292,0.81705,-90.789,0.052865,0.0067494,0.35011,1.0168,0.25932,0.0067494,0.011998,0.044202,0.0067494,3940.6,0.092625,1.3501,0.0067494,0.0043486,33.268,0.036135,0.0034578,0.064542,0.25932,0.090758,-0.19047,4.7901,0.5539,0.0043486,134.52,2.7134,0.048786,0.036135,1.5751,0.43744,0.023282,0.010626,0.2485,0.023282,106.69,73.42,0.037937,0.56559,33.826,-0.025721,-0.016572,0.62057,0.56256,0.36854,0.47991,0.80953,-6348,0.016485,0.020695,0.98351,0.68686,10.971,4.9714,132.3,2.7589,2.8723,"0"
0.32791,0.19034,0.45208,3.6814,353.28,0,0.32791,4.2537,4.9209,0.80966,0.33469,1.9449,0.079694,0.32791,177.16,2.0603,5.2537,0.32791,0.066636,13.9,0.33025,0.066636,0.32791,0.74322,2.0603,1.1918,3.512,-0.0057395,0.067031,13.375,27.291,24.173,0.31998,4.9209,0.81778,0.065025,1.3301,0.016083,0.067112,29.404,15.504,1.7498,2.5699,14.865,0.266,0.054054,3.2609,0.1686,0.036642,2.1345,2.1559,1469.8,0.065025,0.405,0.93641,0.010029,26.26,23.542,12.505,29.187,12.973,"0"
0.18413,0.18926,0.59521,4.145,133.94,0.785627200000001,0.22949,4.2756,1.1677,0.80918,0.22949,1.2126,0.21022,0.22949,240.8,1.5158,5.2839,0.22949,0.16817,48.124,0.2099,0.13493,1.0376,0.80918,1.2761,2.7615,4.4602,-0.065662,0.16817,59.109,6.175,1.1091,0.2099,1.403,0.80918,0.15381,1.483,0.02328,0.15381,134.75,86.624,1.0234,3.1943,56.194,0.15252,0.11177,4.145,0.18926,0.16194,3.7542,3.7542,17175,0.14362,0.22755,0.85638,0,7.5846,4.2136,50.62,7.2105,6.3313,"0"
0.013198,0.4227,0.33522,2.5807,22.155,0,0.017536,1.3657,0.94814,0.5773,0.079117,0.082686,0.05182,0.017536,3140.2,0.11623,2.3657,0.017536,0.018495,103.97,0.076608,0.01392,0,0.56646,0.10597,0.7405,5.0599,0.44582,0.018495,117.95,3.2934,1.6524,0.29187,0.94814,0.77234,0.30783,0.12586,0.13022,0.080798,200.42,96.442,0.048865,1.3071,141.14,0.045012,0.047474,1.2948,0.21208,0.30363,1.2752,1.7061,2.5807,0.30783,0.022861,0.79087,0.33785,3.5105,3.7847,81.643,4.4707,2.0944,"0"
0.014722,0.67887,0.26311,1.3876,911.84,0,0.014722,0.47304,5.4974,0.32113,0.019601,0.021687,0.0062614,0.014722,7198.7,0.050704,1.473,0.014722,0.0026781,3.5386,0.014791,0.0026781,0.014722,0.014723,0.050704,4.5351,3.493,0.12249,0.0034775,45.844,8.0777,8.0777,0.09241,5.4974,0.32113,0.01681,0.041852,0.65611,0.0026905,60.657,57.118,0.27624,1.3091,3.5474,-0.0049078,-0.00089276,1.3876,0.67887,0.1238,5.5351,5.5351,818.75,0.01681,0.045846,0.99841,0,103.15,6.3902,45.074,8.0978,94.754,"0"
-0.0037392,0.10888,0.10894,2.544,25.168,0,-0.002457,8.184,1.0631,0.89112,0.0060685,-0.03482,0.083463,-0.002457,447.93,0.81486,9.184,-0.002457,-0.0023112,13.631,2.9217e-06,-0.0035174,0.1846,0.81041,0.80308,0.13278,4.6062,0.097688,0.0054775,24.082,15.163,9.8262,-0.0064252,1.076,0.89112,-0.0060441,0.082988,0.039804,2.7484e-06,59.623,45.992,-0.094187,1.9813,13.543,-0.091179,-0.085771,1.6486,0.070561,0.06595,1.0861,1.0861,4400,-0.0060441,-0.0041961,1.0023,0,26.777,7.9362,24.227,15.066,1.2956,"0"
-0.006392,0.72568,0.42855,2.0115,22.54,-0.018925,-0.006392,0.37801,2.9862,0.27432,-0.00097949,-0.015087,0.018657,-0.006392,4754.3,0.076773,1.378,-0.006392,-0.0021405,29.492,-0.0404,-0.0021405,-0.006392,0.22654,0.076773,2.9,3.0197,0.23002,-0.00032801,51.097,7.1432,4.1704,-0.040191,2.9862,0.57633,-0.013459,0.095523,1.1145,-0.013529,99.22,69.728,-0.026492,1.442,29.1,-0.1025,-0.034326,1.1744,0.42367,0.13999,1.8563,3.9,448.46,-0.013459,-0.023302,1.0021,1.1009,12.376,5.2346,51.785,7.0484,20.208,"0"
-0.07433,0.865,-0.165,0.54859,-85.441,0,-0.07433,0.15607,1.2544,0.135,-0.07433,-0.20335,-0.026061,-0.07433,-9657.9,-0.037793,1.1561,-0.07433,-0.059256,19.194,0,-0.059256,0.052164,0.134,-0.037793,-0.20639,4.7012,0.66765,-0.11426,129.64,2.8155,1.1898,0.0076177,1.2544,0.62645,0.0060729,0.08458,0.69246,0,49.353,30.16,-1.1269,0.36814,23.394,-0.041639,-0.033195,0.23182,0.36553,0.35518,0.16886,0.78358,-8291.7,0.17957,-0.5506,0.83054,3.6404,19.017,12.102,106.36,3.4317,1.569,"0"
0.14189,0.65561,0.13965,1.2299,-116.6,0.28322,0.2002,0.48712,1.1068,0.31936,0.2002,0.32955,0.20719,0.2002,971.25,0.3758,1.5253,0.2002,0.16835,39.06,0.20984,0.11932,0.39754,0.31936,0.28687,0.55222,4.1687,0.54963,0.16835,206.37,1.7687,0.32007,0.20984,1.3828,0.3675,0.17646,0.57194,0.084187,0.17646,122.68,83.617,1.115,1.0204,43.231,0.16366,0.13763,1.1396,0.60747,0.56539,1.2629,1.4532,2059.2,0.09649,0.44429,0.90351,0.15073,9.3447,4.3651,186.46,1.9576,4.7025,"0"
-0.10695,0.50447,-0.13615,0.72695,927.59,-0.11514,-0.10695,0.9823,2.7537,0.49553,-0.10672,-0.2145,-0.0098467,-0.10695,-6790.8,-0.053749,1.9823,-0.10695,-0.03884,45.406,-0.10672,-0.03884,-0.10695,0.20849,-0.053749,-0.21355,2.542,0.17693,-0.038755,63.648,5.7366,5.6701,-0.10575,2.7537,0.49553,-0.038404,0.034754,-0.62553,-0.038755,45.749,2.74274,-0.31222,0.08461239,43.712,-0.18656,-0.067748,0.71852,0.49862,0.17432,0.77727,0.77727,-47.43,-0.038404,-0.21583,1.0388,0,8.0386,104.607499999999,66.092,5.5226,4.3193,"0"
0.17186,0.099444,0.71582,8.1982,-7.8051,0,0.21276,9.0559,1.6319,0.90056,0.2135,2.1395,0.14524,0.21276,153.13,2.3835,10.056,0.21276,0.13037,48.525,0.19454,0.10531,0.21276,0.80076,1.9723,3.8748,3.3703,0.060936,0.13045,24.833,14.698,14.698,0.17027,1.6319,0.90056,0.10434,5.3299,0.015149,0.11921,63.797,15.272,0.79214,6.0165,54.178,0.17027,0.10434,8.1982,0.099444,0.068035,4.8748,4.8748,1679.2,0.10434,0.19084,0.8741,0,7.5219,23.901,22.242,16.411,8.8339,"0"
-0.2167,0.26861,0.20356,1.9997,-247.92,0,-0.2167,2.7228,3.8788,0.73139,-0.18071,-1.0643,-0.029319,-0.2167,-862.13,-0.42337,3.7228,-0.2167,-0.055868,11.192,-0.18466,-0.055868,-0.24361,-0.084049,-0.42337,0.34337,3.5874,0.052536,-0.046971,18.64,20.561,15.585,-0.10832,3.8788,0.73139,-0.027926,0.32689,-0.10962,-0.047607,32.052,20.86,-1.822,1.4156,10.369,-0.28764,-0.074156,1.5158,0.20361,0.048637,1.2337,1.2337,787.22,-0.027926,-0.29629,1.0886,0,32.613,17.497,19.16,19.05,6.5429,"0"
-0.17765,0.93353,0.12976,1.3839,-41.225,0,-0.17765,0.071207,1.2353,0.066474,-0.16421,-0.52554,-0.055199,-0.17765,-4997,-0.073043,1.0712,-0.17765,-0.14381,62.396,6.3913e-05,-0.14381,-0.31763,0.046824,-0.073043,0.24382,4.8238,0.73322,-0.28841,124.4,2.9342,1.0625,0.013626,1.2353,0.64123,0.01103,0.14028,0.2841,5.1739e-05,124.21,61.815,-0.84128,0.75917,77.709,-0.1094,-0.088563,0.50111,0.33804,0.34081,0.1249,1.2049,8648.9,0.19706,-2.6725,0.81542,6.39202999999999,5.8498,5.9047,99.882,3.6543,2.3211,"0"
0.56527,0.69565,0.27545,1.4133,26.662,0.22708,0.58499,0.43751,1.1751,0.30436,0.58499,0.87776,0.14491,0.58499,419.2,0.8707,1.4375,0.58499,0.13995,0.027656,0.61006,0.13523,0.24679,0.30436,0.84236,4.7416,2.9907,0.13855,0.13995,68.387,5.3372,0.87696,0.61006,4.2142,0.33355,0.14595,0.19467,0.036258,0.14595,70.918,70.891,53.7537800000001,1.4128,0.0325,0.58934,0.14099,1.354,0.66646,0.18736,5.2392,5.7418,269.61,0.14904,1.8573,0.85096,0.095938,769.316000000004,5.1488,58.195,6.272,71.955,"0"
0.023163,0.25254,0.52645,3.0846,101.98,0.023163,0.031216,2.9209,1.0207,0.73763,0.031216,0.12361,0.045304,0.031216,1457.1,0.25051,3.9598,0.031216,0.022355,38.632,0.021263,0.016588,0.031216,0.73763,0.21862,2.382,4.2682,-0.042641,0.022355,67.374,5.4176,0.084198,0.021263,1.4123,0.73763,0.015227,1.2365,0.15574,0.015227,122,83.366,0.15672,2.4994,39.43,-0.010783,-0.0077219,3.0846,0.25254,0.18459,3.3375,3.3375,9763.1,0.020235,0.031402,0.97976,0,9.4481,4.3783,66.01,5.5294,6.3181,"0"
0.6702676,0.099338,0.78377,8.8899,569.98,0.042964,0.7284035,9.0666,1.3325,0.90066,0.761079200000002,8.4967,0.64068,0.7284035,42.472,8.5939,10.067,0.728830000000002,0.510335899999999,6.385,0.7288337,0.450657599999996,1.0636,0.88701,8.5939,6.7052,3.643,-0.13359,0.63412,74.141,4.9231,4.9231,0.741539800000001,1.3325,0.90066,0.443276799999999,2.8066,0.0038788,0.472620399999998,165.53,159.15,36.21,8.6553,17.397,0.711006200000001,0.419087199999998,8.8899,0.099338,0.20313,7.7052,7.7052,3445.2,0.63298,0.93714,0.36746,0,57.165,2.2935,27.211,13.414,11.4,"0"
0.071846,0.79282,0.0038986,1.0093,-30.024,0,0.089251,0.26133,1.3223,0.20718,0.095795,0.21197,0.074445,0.089251,2939.6,0.12417,1.2613,0.089251,0.067495,27.518,0.095795,0.054333,0.19789,0.18491,0.10221,0.0067797,3.8562,0.57734,0.072444,123.48,2.956,1.5699,0.077694,1.3223,0.57895,0.058755,0.086971,0.25172,0.072444,107.19,79.672,0.72067,0.77249,29.236,0.086605,0.065494,0.536,0.42105,0.33829,0.36029,1.0068,28,0.058755,0.34677,0.93366,1.7944,13.264,4.5813,116.22,3.1405,2.2995,"0"
